Milestone 21 post-optimization focused allocation results
Command: go test ./internal/kv ./internal/raft -run '^$' -bench 'BenchmarkAllocation|BenchmarkRaftLogScalingAppendOne|BenchmarkRaftLogScalingMutations|BenchmarkRaftLogScalingRead|BenchmarkFollowerLogPersistenceCatchUp' -benchmem -benchtime=5x -count=3

goos: linux
goarch: amd64
pkg: quorumkv/internal/kv
cpu: 11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz
BenchmarkAllocationFingerprint/value=16B-12         	       5	       835.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkAllocationFingerprint/value=16B-12         	       5	       727.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkAllocationFingerprint/value=16B-12         	       5	       593.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkAllocationFingerprint/value=1024B-12       	       5	       792.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkAllocationFingerprint/value=1024B-12       	       5	       791.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkAllocationFingerprint/value=1024B-12       	       5	      1127 ns/op	       3 B/op	       0 allocs/op
BenchmarkAllocationFingerprint/value=16384B-12      	       5	      9674 ns/op	       0 B/op	       0 allocs/op
BenchmarkAllocationFingerprint/value=16384B-12      	       5	     11179 ns/op	       0 B/op	       0 allocs/op
BenchmarkAllocationFingerprint/value=16384B-12      	       5	      9624 ns/op	       0 B/op	       0 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16B-12 	       5	       909.4 ns/op	      64 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16B-12 	       5	      1056 ns/op	      64 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16B-12 	       5	       764.6 ns/op	      64 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16B-12 	       5	       754.0 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16B-12 	       5	       828.6 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16B-12 	       5	       738.0 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/encode/value=1024B-12         	       5	      1038 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=1024B-12         	       5	      3987 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=1024B-12         	       5	      2626 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/decode/value=1024B-12         	       5	      1094 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=1024B-12         	       5	       986.6 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=1024B-12         	       5	       975.0 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16384B-12        	       5	      5146 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16384B-12        	       5	      2072 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16384B-12        	       5	      4187 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16384B-12        	       5	      3644 ns/op	   16387 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16384B-12        	       5	      1665 ns/op	   16387 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16384B-12        	       5	      3159 ns/op	   16387 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16B-12               	       5	       244.8 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16B-12               	       5	       264.0 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16B-12               	       5	       156.8 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=1024B-12             	       5	       206.4 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=1024B-12             	       5	       207.0 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=1024B-12             	       5	       175.4 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16384B-12            	       5	      4059 ns/op	   16387 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16384B-12            	       5	      2120 ns/op	   16387 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16384B-12            	       5	      3030 ns/op	   16387 B/op	       2 allocs/op
PASS
ok  	quorumkv/internal/kv	0.014s
goos: linux
goarch: amd64
pkg: quorumkv/internal/raft
cpu: 11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz
BenchmarkAllocationEntryRecord/command=16B-12         	       5	       265.2 ns/op	      48 B/op	       1 allocs/op
BenchmarkAllocationEntryRecord/command=16B-12         	       5	       264.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkAllocationEntryRecord/command=16B-12         	       5	       204.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkAllocationEntryRecord/command=1024B-12       	       5	       278.4 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationEntryRecord/command=1024B-12       	       5	       360.6 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationEntryRecord/command=1024B-12       	       5	       297.0 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationEntryRecord/command=16384B-12      	       5	      3403 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationEntryRecord/command=16384B-12      	       5	      3219 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationEntryRecord/command=16384B-12      	       5	      1998 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationEntryRecord/command=262144B-12     	       5	     32542 ns/op	  270336 B/op	       1 allocs/op
BenchmarkAllocationEntryRecord/command=262144B-12     	       5	     80292 ns/op	  270336 B/op	       1 allocs/op
BenchmarkAllocationEntryRecord/command=262144B-12     	       5	     53709 ns/op	  270336 B/op	       1 allocs/op
BenchmarkAllocationReplicationEncoding/entries-range-64-12         	       5	     13230 ns/op	   68224 B/op	      65 allocs/op
BenchmarkAllocationReplicationEncoding/entries-range-64-12         	       5	      7067 ns/op	   68224 B/op	      65 allocs/op
BenchmarkAllocationReplicationEncoding/entries-range-64-12         	       5	     45230 ns/op	   68224 B/op	      65 allocs/op
BenchmarkAllocationReplicationEncoding/encode-append-entries-64-12 	       5	      6846 ns/op	   73728 B/op	       1 allocs/op
BenchmarkAllocationReplicationEncoding/encode-append-entries-64-12 	       5	     10862 ns/op	   73728 B/op	       1 allocs/op
BenchmarkAllocationReplicationEncoding/encode-append-entries-64-12 	       5	      9850 ns/op	   73728 B/op	       1 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=100/value=16B-12          	       5	      3622 ns/op	       965.0 fsync-ns	       185.0 logical-B	     17394 persist-ns	       310.0 physical-B	         1.676 write-amplification	     376 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=100/value=16B-12          	       5	      5020 ns/op	      1441 fsync-ns	       185.0 logical-B	     24033 persist-ns	       310.0 physical-B	         1.676 write-amplification	     376 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=100/value=16B-12          	       5	      3187 ns/op	       970.0 fsync-ns	       185.0 logical-B	     15280 persist-ns	       310.0 physical-B	         1.676 write-amplification	     376 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=1000/value=16B-12         	       5	      3339 ns/op	      1013 fsync-ns	       185.0 logical-B	     15968 persist-ns	       310.0 physical-B	         1.676 write-amplification	     376 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=1000/value=16B-12         	       5	      3164 ns/op	       921.0 fsync-ns	       185.0 logical-B	     15151 persist-ns	       310.0 physical-B	         1.676 write-amplification	     376 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=1000/value=16B-12         	       5	      3381 ns/op	      1024 fsync-ns	       185.0 logical-B	     16199 persist-ns	       310.0 physical-B	         1.676 write-amplification	     376 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=5000/value=16B-12         	       5	      3402 ns/op	       985.0 fsync-ns	       185.0 logical-B	     16223 persist-ns	       310.0 physical-B	         1.676 write-amplification	     376 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=5000/value=16B-12         	       5	      3430 ns/op	       941.0 fsync-ns	       185.0 logical-B	     16214 persist-ns	       310.0 physical-B	         1.676 write-amplification	     376 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=5000/value=16B-12         	       5	      3298 ns/op	       957.0 fsync-ns	       185.0 logical-B	     15737 persist-ns	       310.0 physical-B	         1.676 write-amplification	     376 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=10000/value=16B-12        	       5	      3458 ns/op	      1009 fsync-ns	       185.0 logical-B	     16306 persist-ns	       310.0 physical-B	         1.676 write-amplification	     376 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=10000/value=16B-12        	       5	      3198 ns/op	       973.0 fsync-ns	       185.0 logical-B	     15129 persist-ns	       310.0 physical-B	         1.676 write-amplification	     376 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=10000/value=16B-12        	       5	      3441 ns/op	       904.0 fsync-ns	       185.0 logical-B	     16495 persist-ns	       310.0 physical-B	         1.676 write-amplification	     376 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=25000/value=16B-12        	       5	      3257 ns/op	       881.0 fsync-ns	       185.0 logical-B	     15219 persist-ns	       310.0 physical-B	         1.676 write-amplification	     376 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=25000/value=16B-12        	       5	      3611 ns/op	       895.0 fsync-ns	       185.0 logical-B	     16838 persist-ns	       310.0 physical-B	         1.676 write-amplification	     376 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=25000/value=16B-12        	       5	      3491 ns/op	       914.0 fsync-ns	       185.0 logical-B	     16470 persist-ns	       310.0 physical-B	         1.676 write-amplification	     376 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=50000/value=16B-12        	       5	      3747 ns/op	       909.0 fsync-ns	       185.0 logical-B	     17474 persist-ns	       310.0 physical-B	         1.676 write-amplification	     376 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=50000/value=16B-12        	       5	      3511 ns/op	       933.0 fsync-ns	       185.0 logical-B	     16258 persist-ns	       310.0 physical-B	         1.676 write-amplification	     376 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=50000/value=16B-12        	       5	      3852 ns/op	       919.0 fsync-ns	       185.0 logical-B	     18107 persist-ns	       310.0 physical-B	         1.676 write-amplification	     376 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=100/value=1024B-12        	       5	      5647 ns/op	      1058 fsync-ns	      5225 logical-B	     27309 persist-ns	      5350 physical-B	         1.024 write-amplification	    2472 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=100/value=1024B-12        	       5	      4540 ns/op	       979.0 fsync-ns	      5225 logical-B	     21993 persist-ns	      5350 physical-B	         1.024 write-amplification	    2472 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=100/value=1024B-12        	       5	      4769 ns/op	       963.0 fsync-ns	      5225 logical-B	     23091 persist-ns	      5350 physical-B	         1.024 write-amplification	    2472 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=1000/value=1024B-12       	       5	      3905 ns/op	       974.0 fsync-ns	      5225 logical-B	     18430 persist-ns	      5350 physical-B	         1.024 write-amplification	    2472 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=1000/value=1024B-12       	       5	      7766 ns/op	      2998 fsync-ns	      5225 logical-B	     35847 persist-ns	      5350 physical-B	         1.024 write-amplification	    2472 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=1000/value=1024B-12       	       5	      4474 ns/op	       973.0 fsync-ns	      5225 logical-B	     21407 persist-ns	      5350 physical-B	         1.024 write-amplification	    2472 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=5000/value=1024B-12       	       5	      4379 ns/op	       955.0 fsync-ns	      5225 logical-B	     20589 persist-ns	      5350 physical-B	         1.024 write-amplification	    2472 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=5000/value=1024B-12       	       5	      4354 ns/op	       949.0 fsync-ns	      5225 logical-B	     20334 persist-ns	      5350 physical-B	         1.024 write-amplification	    2472 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=5000/value=1024B-12       	       5	      5645 ns/op	       977.0 fsync-ns	      5225 logical-B	     27061 persist-ns	      5350 physical-B	         1.024 write-amplification	    2472 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=10000/value=1024B-12      	       5	      4499 ns/op	       951.0 fsync-ns	      5225 logical-B	     21250 persist-ns	      5350 physical-B	         1.024 write-amplification	    2472 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=10000/value=1024B-12      	       5	      4109 ns/op	       988.0 fsync-ns	      5225 logical-B	     19320 persist-ns	      5350 physical-B	         1.024 write-amplification	    2472 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=10000/value=1024B-12      	       5	      4976 ns/op	      1100 fsync-ns	      5225 logical-B	     23774 persist-ns	      5350 physical-B	         1.024 write-amplification	    2472 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=25000/value=1024B-12      	       5	      4985 ns/op	       918.0 fsync-ns	      5225 logical-B	     18949 persist-ns	      5350 physical-B	         1.024 write-amplification	    2472 B/op	       6 allocs/op
