Milestone 21 allocation baseline: M20 merge commit b3dfe96
Command: go test ./internal/kv ./internal/raft -run '^$' -bench 'BenchmarkAllocation|BenchmarkRaftLogScalingAppendOne|BenchmarkRaftLogScalingMutations|BenchmarkRaftLogScalingRead|BenchmarkFollowerLogPersistenceCatchUp' -benchmem -benchtime=5x -count=3

goos: linux
goarch: amd64
pkg: quorumkv/internal/kv
cpu: 11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz
BenchmarkAllocationFingerprint/value=16B-12         	       5	       911.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkAllocationFingerprint/value=16B-12         	       5	       684.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkAllocationFingerprint/value=16B-12         	       5	      3639 ns/op	       0 B/op	       0 allocs/op
BenchmarkAllocationFingerprint/value=1024B-12       	       5	      1068 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationFingerprint/value=1024B-12       	       5	       898.4 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationFingerprint/value=1024B-12       	       5	      1002 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationFingerprint/value=16384B-12      	       5	     17134 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationFingerprint/value=16384B-12      	       5	     12780 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationFingerprint/value=16384B-12      	       5	     13237 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16B-12 	       5	       912.2 ns/op	      64 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16B-12 	       5	       823.6 ns/op	      64 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16B-12 	       5	      1036 ns/op	      64 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16B-12 	       5	      2168 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16B-12 	       5	       837.0 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16B-12 	       5	       631.6 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/encode/value=1024B-12         	       5	      1219 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=1024B-12         	       5	      1003 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=1024B-12         	       5	       933.6 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/decode/value=1024B-12         	       5	       953.8 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=1024B-12         	       5	       863.4 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=1024B-12         	       5	       836.0 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16384B-12        	       5	      2172 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16384B-12        	       5	      1651 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16384B-12        	       5	      1836 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16384B-12        	       5	      1859 ns/op	   16387 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16384B-12        	       5	      1643 ns/op	   16387 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16384B-12        	       5	      1935 ns/op	   16387 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16B-12               	       5	       245.2 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16B-12               	       5	       149.4 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16B-12               	       5	       217.0 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=1024B-12             	       5	       202.4 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=1024B-12             	       5	       193.2 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=1024B-12             	       5	       151.0 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16384B-12            	       5	      6209 ns/op	   16387 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16384B-12            	       5	      3032 ns/op	   16387 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16384B-12            	       5	      1554 ns/op	   16387 B/op	       2 allocs/op
PASS
ok  	quorumkv/internal/kv	0.013s
goos: linux
goarch: amd64
pkg: quorumkv/internal/raft
cpu: 11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz
BenchmarkAllocationEntryRecord/command=16B-12         	       5	       303.0 ns/op	      96 B/op	       2 allocs/op
BenchmarkAllocationEntryRecord/command=16B-12         	       5	       186.0 ns/op	      96 B/op	       2 allocs/op
BenchmarkAllocationEntryRecord/command=16B-12         	       5	       202.0 ns/op	      96 B/op	       2 allocs/op
BenchmarkAllocationEntryRecord/command=1024B-12       	       5	       413.4 ns/op	    2304 B/op	       2 allocs/op
BenchmarkAllocationEntryRecord/command=1024B-12       	       5	       307.6 ns/op	    2304 B/op	       2 allocs/op
BenchmarkAllocationEntryRecord/command=1024B-12       	       5	       332.6 ns/op	    2304 B/op	       2 allocs/op
BenchmarkAllocationEntryRecord/command=16384B-12      	       5	      4434 ns/op	   36864 B/op	       2 allocs/op
BenchmarkAllocationEntryRecord/command=16384B-12      	       5	      3266 ns/op	   36864 B/op	       2 allocs/op
BenchmarkAllocationEntryRecord/command=16384B-12      	       5	      4807 ns/op	   36864 B/op	       2 allocs/op
BenchmarkAllocationEntryRecord/command=262144B-12     	       5	    111151 ns/op	  540672 B/op	       2 allocs/op
BenchmarkAllocationEntryRecord/command=262144B-12     	       5	     84581 ns/op	  540672 B/op	       2 allocs/op
BenchmarkAllocationEntryRecord/command=262144B-12     	       5	     78817 ns/op	  540672 B/op	       2 allocs/op
BenchmarkAllocationReplicationEncoding/entries-range-64-12         	       5	      9680 ns/op	   68224 B/op	      65 allocs/op
BenchmarkAllocationReplicationEncoding/entries-range-64-12         	       5	      5620 ns/op	   68224 B/op	      65 allocs/op
BenchmarkAllocationReplicationEncoding/entries-range-64-12         	       5	      5384 ns/op	   68224 B/op	      65 allocs/op
BenchmarkAllocationReplicationEncoding/encode-append-entries-64-12 	       5	      8293 ns/op	   73728 B/op	       1 allocs/op
BenchmarkAllocationReplicationEncoding/encode-append-entries-64-12 	       5	     18448 ns/op	   73728 B/op	       1 allocs/op
BenchmarkAllocationReplicationEncoding/encode-append-entries-64-12 	       5	     15938 ns/op	   73728 B/op	       1 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=100/value=16B-12          	       5	      3475 ns/op	       945.0 fsync-ns	       185.0 logical-B	     16674 persist-ns	       310.0 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=100/value=16B-12          	       5	      3356 ns/op	       909.0 fsync-ns	       185.0 logical-B	     16117 persist-ns	       310.0 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=100/value=16B-12          	       5	      3293 ns/op	       913.0 fsync-ns	       185.0 logical-B	     15840 persist-ns	       310.0 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=1000/value=16B-12         	       5	      3277 ns/op	       920.0 fsync-ns	       185.0 logical-B	     15745 persist-ns	       310.0 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=1000/value=16B-12         	       5	      4014 ns/op	       930.0 fsync-ns	       185.0 logical-B	     19133 persist-ns	       310.0 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=1000/value=16B-12         	       5	      3316 ns/op	       893.0 fsync-ns	       185.0 logical-B	     15916 persist-ns	       310.0 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=5000/value=16B-12         	       5	      3590 ns/op	       957.0 fsync-ns	       185.0 logical-B	     17293 persist-ns	       310.0 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=5000/value=16B-12         	       5	      3609 ns/op	       934.0 fsync-ns	       185.0 logical-B	     17235 persist-ns	       310.0 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=5000/value=16B-12         	       5	      3555 ns/op	       909.0 fsync-ns	       185.0 logical-B	     17090 persist-ns	       310.0 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=10000/value=16B-12        	       5	      3955 ns/op	       938.0 fsync-ns	       185.0 logical-B	     18127 persist-ns	       310.0 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=10000/value=16B-12        	       5	      3818 ns/op	       949.0 fsync-ns	       185.0 logical-B	     17966 persist-ns	       310.0 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=10000/value=16B-12        	       5	      7794 ns/op	       963.0 fsync-ns	       185.0 logical-B	     37644 persist-ns	       310.0 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=25000/value=16B-12        	       5	      3791 ns/op	       944.0 fsync-ns	       185.0 logical-B	     17730 persist-ns	       310.0 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=25000/value=16B-12        	       5	      3666 ns/op	       961.0 fsync-ns	       185.0 logical-B	     17206 persist-ns	       310.0 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=25000/value=16B-12        	       5	      3342 ns/op	       896.0 fsync-ns	       185.0 logical-B	     15726 persist-ns	       310.0 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=50000/value=16B-12        	       5	      3688 ns/op	       921.0 fsync-ns	       185.0 logical-B	     17314 persist-ns	       310.0 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=50000/value=16B-12        	       5	      3696 ns/op	       903.0 fsync-ns	       185.0 logical-B	     17083 persist-ns	       310.0 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=50000/value=16B-12        	       5	      3637 ns/op	       931.0 fsync-ns	       185.0 logical-B	     17161 persist-ns	       310.0 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=100/value=1024B-12        	       5	      5753 ns/op	      1059 fsync-ns	      5225 logical-B	     26167 persist-ns	      5350 physical-B	         1.024 write-amplification	    4832 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=100/value=1024B-12        	       5	      4146 ns/op	       971.0 fsync-ns	      5225 logical-B	     19793 persist-ns	      5350 physical-B	         1.024 write-amplification	    4832 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=100/value=1024B-12        	       5	      3760 ns/op	       934.0 fsync-ns	      5225 logical-B	     18138 persist-ns	      5350 physical-B	         1.024 write-amplification	    4832 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=1000/value=1024B-12       	       5	      4447 ns/op	       960.0 fsync-ns	      5225 logical-B	     21356 persist-ns	      5350 physical-B	         1.024 write-amplification	    4832 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=1000/value=1024B-12       	       5	      5212 ns/op	      1041 fsync-ns	      5225 logical-B	     24853 persist-ns	      5350 physical-B	         1.024 write-amplification	    4832 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=1000/value=1024B-12       	       5	      4872 ns/op	       991.0 fsync-ns	      5225 logical-B	     23459 persist-ns	      5350 physical-B	         1.024 write-amplification	    4832 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=5000/value=1024B-12       	       5	      4247 ns/op	       952.0 fsync-ns	      5225 logical-B	     19923 persist-ns	      5350 physical-B	         1.024 write-amplification	    4832 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=5000/value=1024B-12       	       5	      4424 ns/op	      1093 fsync-ns	      5225 logical-B	     20785 persist-ns	      5350 physical-B	         1.024 write-amplification	    4832 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=5000/value=1024B-12       	       5	      7154 ns/op	      1389 fsync-ns	      5225 logical-B	     34103 persist-ns	      5350 physical-B	         1.024 write-amplification	    4832 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=10000/value=1024B-12      	       5	      6191 ns/op	      1028 fsync-ns	      5225 logical-B	     29761 persist-ns	      5350 physical-B	         1.024 write-amplification	    4832 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=10000/value=1024B-12      	       5	      4665 ns/op	       974.0 fsync-ns	      5225 logical-B	     22268 persist-ns	      5350 physical-B	         1.024 write-amplification	    4832 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=10000/value=1024B-12      	       5	      7717 ns/op	      1031 fsync-ns	      5225 logical-B	     37171 persist-ns	      5350 physical-B	         1.024 write-amplification	    4832 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=25000/value=1024B-12      	       5	      3798 ns/op	       870.0 fsync-ns	      5225 logical-B	     18047 persist-ns	      5350 physical-B	         1.024 write-amplification	    4832 B/op	      10 allocs/op
