Milestone 20 segmented-log results
Command: go test ./internal/raft -run '^$' -bench '^(BenchmarkRaftLogScalingAppendOne|BenchmarkRaftLogScalingMutations|BenchmarkFollowerLogPersistenceCatchUp)$' -benchmem -benchtime=1x -count=3

goos: linux
goarch: amd64
pkg: quorumkv/internal/raft
cpu: 11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz
BenchmarkRaftLogScalingAppendOne/entries=100/value=16B-12         	       1	      5730 ns/op	       269.0 fsync-ns	        37.00 logical-B	      5201 persist-ns	        62.00 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=100/value=16B-12         	       1	      5205 ns/op	       250.0 fsync-ns	        37.00 logical-B	      4796 persist-ns	        62.00 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=100/value=16B-12         	       1	      5002 ns/op	       229.0 fsync-ns	        37.00 logical-B	      4688 persist-ns	        62.00 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=1000/value=16B-12        	       1	      4988 ns/op	       227.0 fsync-ns	        37.00 logical-B	      4704 persist-ns	        62.00 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=1000/value=16B-12        	       1	      4983 ns/op	       223.0 fsync-ns	        37.00 logical-B	      4692 persist-ns	        62.00 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=1000/value=16B-12        	       1	      4806 ns/op	       227.0 fsync-ns	        37.00 logical-B	      4537 persist-ns	        62.00 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=5000/value=16B-12        	       1	      6218 ns/op	       213.0 fsync-ns	        37.00 logical-B	      5441 persist-ns	        62.00 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=5000/value=16B-12        	       1	     21894 ns/op	       332.0 fsync-ns	        37.00 logical-B	     21559 persist-ns	        62.00 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=5000/value=16B-12        	       1	      4550 ns/op	       211.0 fsync-ns	        37.00 logical-B	      4279 persist-ns	        62.00 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=10000/value=16B-12       	       1	      5547 ns/op	       217.0 fsync-ns	        37.00 logical-B	      4965 persist-ns	        62.00 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=10000/value=16B-12       	       1	      5701 ns/op	       250.0 fsync-ns	        37.00 logical-B	      5143 persist-ns	        62.00 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=10000/value=16B-12       	       1	      5846 ns/op	       216.0 fsync-ns	        37.00 logical-B	      5144 persist-ns	        62.00 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=25000/value=16B-12       	       1	      5482 ns/op	       232.0 fsync-ns	        37.00 logical-B	      4866 persist-ns	        62.00 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=25000/value=16B-12       	       1	     12179 ns/op	       252.0 fsync-ns	        37.00 logical-B	     11428 persist-ns	        62.00 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=25000/value=16B-12       	       1	      5617 ns/op	       244.0 fsync-ns	        37.00 logical-B	      4961 persist-ns	        62.00 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
